Date,GOOGLE_holding
11/16/2018 12:41,31727
11/16/2018 13:41,31727
11/16/2018 14:41,31727
11/16/2018 15:41,31684
11/16/2018 16:41,31675
11/16/2018 17:41,31683
11/16/2018 18:41,31683
11/16/2018 19:41,31691
11/16/2018 20:41,31685
11/16/2018 21:41,31667
11/16/2018 22:41,31668
11/16/2018 23:41,31671
11/17/2018 0:41,31671
11/17/2018 1:41,31671
11/17/2018 2:41,31671
11/17/2018 3:41,31671
11/17/2018 4:41,31671
11/17/2018 5:41,31671
11/17/2018 6:41,31671
11/17/2018 7:41,31671
11/17/2018 8:41,31671
11/17/2018 9:41,31671
11/17/2018 10:41,31671
11/17/2018 11:41,31671
11/17/2018 12:41,31671
11/17/2018 13:41,31671
11/17/2018 14:41,31671
11/17/2018 15:41,31671
11/17/2018 16:41,31671
11/17/2018 17:41,31671
11/17/2018 18:41,31671
11/17/2018 19:41,31671
