timestamp,users_holding
"2018-05-18 14:44:00",33222
"2018-05-18 15:44:00",33185
"2018-05-18 16:44:00",33186
"2018-05-18 17:43:59",33185
"2018-05-18 18:43:59",33231
"2018-05-18 19:44:00",33239
"2018-05-18 20:44:01",33245
"2018-05-18 21:43:59",33246
"2018-05-18 22:44:00",33249
"2018-05-18 23:44:00",33249
"2018-05-19 00:43:59",33249
"2018-05-19 01:44:01",33249
"2018-05-19 02:44:01",33249
"2018-05-19 03:44:01",33249
"2018-05-19 04:44:00",33249
"2018-05-19 05:44:01",33249
"2018-05-19 06:44:02",33249
"2018-05-19 07:43:59",33249
"2018-05-19 08:44:00",33249
"2018-05-19 09:44:00",33249
"2018-05-19 10:43:59",33251
"2018-05-19 11:44:00",33251
"2018-05-19 12:44:00",33251
"2018-05-19 13:44:01",33251
"2018-05-19 14:44:01",33251
"2018-05-19 15:44:01",33251
"2018-05-19 16:44:00",33251
"2018-05-19 17:44:00",33251
"2018-05-19 18:44:00",33251
"2018-05-19 19:44:00",33251
"2018-05-19 20:44:00",33251
"2018-05-19 21:44:00",33251
"2018-05-19 22:43:59",33251
"2018-05-19 23:44:00",33251
"2018-05-20 00:44:00",33251
"2018-05-20 01:44:01",33251
"2018-05-20 02:44:00",33251
"2018-05-20 03:44:00",33251
"2018-05-20 04:44:00",33251
"2018-05-20 05:44:00",33251
"2018-05-20 06:43:59",33251
"2018-05-20 07:43:59",33251
"2018-05-20 08:44:00",33251
"2018-05-20 09:44:00",33251
"2018-05-20 10:44:00",33251
"2018-05-20 11:44:00",33251
"2018-05-20 12:43:59",33251
"2018-05-20 13:43:59",33251
"2018-05-20 14:44:02",33251
"2018-05-20 15:44:00",33251
"2018-05-20 16:44:00",33251
"2018-05-20 17:44:01",33251
"2018-05-20 18:44:00",33251
"2018-05-20 19:44:00",33251
"2018-05-20 20:44:00",33251
"2018-05-20 21:43:59",33251
"2018-05-20 22:44:00",33251
"2018-05-20 23:44:00",33251
"2018-05-21 00:44:01",33251
"2018-05-21 01:44:13",33251
"2018-05-21 02:44:07",33251
"2018-05-21 03:44:01",33251
"2018-05-21 04:44:05",33251
"2018-05-21 05:44:00",33251
"2018-05-21 06:44:01",33251
"2018-05-21 07:44:01",33251
"2018-05-21 08:44:03",33251
"2018-05-21 09:44:00",33253
"2018-05-21 10:43:59",33253
"2018-05-21 11:43:59",33253
"2018-05-21 12:44:03",33253
"2018-05-21 13:44:00",33252
"2018-05-21 14:44:00",33251
"2018-05-21 15:43:59",33212
"2018-05-21 16:43:59",33169
"2018-05-21 17:43:58",33123
"2018-05-21 18:43:59",33084
"2018-05-21 19:43:59",33039
"2018-05-21 20:43:59",33007
"2018-05-21 21:44:00",33005
"2018-05-21 22:43:59",33005
"2018-05-21 23:44:00",33005
"2018-05-22 00:44:00",33005
"2018-05-22 01:44:01",33005
"2018-05-22 02:44:00",33005
"2018-05-22 03:44:01",33005
"2018-05-22 04:44:01",33005
"2018-05-22 05:43:59",33005
"2018-05-22 06:43:59",33005
"2018-05-22 07:44:00",33005
"2018-05-22 08:44:06",33005
"2018-05-22 09:43:59",33005
"2018-05-22 10:44:00",33005
"2018-05-22 11:43:59",33005
"2018-05-22 12:44:00",33007
"2018-05-22 13:44:02",33007
"2018-05-22 14:44:01",32966
"2018-05-22 15:44:01",32900
"2018-05-22 16:44:00",32886
"2018-05-22 17:43:59",32899
"2018-05-22 18:44:00",32931
"2018-05-22 19:44:00",32957
"2018-05-22 20:44:01",32991
"2018-05-22 21:44:00",32991
"2018-05-22 22:44:00",32995
"2018-05-22 23:44:00",32995
"2018-05-23 00:43:59",32995
"2018-05-23 01:44:00",32995
"2018-05-23 02:43:59",32995
"2018-05-23 03:44:01",32995
"2018-05-23 04:44:00",32995
"2018-05-23 05:44:01",32995
"2018-05-23 06:44:01",32995
"2018-05-23 07:44:04",32995
"2018-05-23 08:44:00",32995
"2018-05-23 09:44:00",32995
"2018-05-23 10:44:01",32999
"2018-05-23 11:44:00",32999
"2018-05-23 12:43:59",32999
"2018-05-23 13:44:01",32999
"2018-05-23 14:44:00",33008
"2018-05-23 15:44:00",33021
"2018-05-23 16:44:02",33010
"2018-05-23 17:44:00",33010
"2018-05-23 18:43:59",33038
"2018-05-23 19:44:00",33030
"2018-05-23 20:44:01",33004
"2018-05-23 21:44:00",33006
"2018-05-23 22:44:00",33008
"2018-05-23 23:44:00",33008
"2018-05-24 00:44:00",33008
"2018-05-24 01:44:00",33008
"2018-05-24 02:44:01",33008
"2018-05-24 03:44:00",33008
"2018-05-24 04:44:00",33008
"2018-05-24 06:44:01",33008
"2018-05-24 07:44:00",33008
"2018-05-24 08:44:00",33008
"2018-05-24 09:44:00",33008
"2018-05-24 10:44:00",33012
"2018-05-24 11:43:59",33012
"2018-05-24 12:44:00",33012
"2018-05-24 20:13:08",32958
"2018-05-24 20:43:59",32958
"2018-05-24 21:44:00",32959
"2018-05-24 22:44:00",32951
"2018-05-24 23:44:00",32951
"2018-05-25 00:44:00",32951
"2018-05-25 01:44:01",32951
"2018-05-25 02:44:00",32951
"2018-05-25 03:44:00",32951
"2018-05-25 04:44:00",32951
"2018-05-25 05:44:01",32951
"2018-05-25 06:44:00",32951
"2018-05-25 07:44:00",32951
"2018-05-25 08:44:00",32951
"2018-05-25 09:44:00",32952
"2018-05-25 10:44:01",32955
"2018-05-25 11:44:00",32955
"2018-05-25 12:44:00",32955
"2018-05-25 13:44:01",32955
"2018-05-25 14:44:00",32903
"2018-05-25 15:44:00",32865
"2018-05-25 16:44:00",32864
"2018-05-25 17:43:59",32876
"2018-05-25 18:44:00",32879
"2018-05-25 19:44:00",32891
"2018-05-25 20:44:00",32911
"2018-05-25 21:43:59",32919
"2018-05-25 22:43:59",32921
"2018-05-25 23:44:00",32921
"2018-05-26 00:44:00",32921
"2018-05-26 01:44:00",32921
"2018-05-26 02:44:00",32921
"2018-05-26 03:44:00",32921
"2018-05-26 04:43:59",32921
"2018-05-26 05:44:00",32921
"2018-05-26 06:44:00",32921
"2018-05-26 07:44:00",32921
"2018-05-26 08:44:01",32921
"2018-05-26 09:43:59",32921
"2018-05-26 10:43:59",32921
"2018-05-26 11:44:00",32921
"2018-05-26 12:44:00",32921
"2018-05-26 13:44:01",32921
"2018-05-26 14:44:00",32921
"2018-05-26 15:44:01",32921
"2018-05-26 16:44:00",32921
"2018-05-26 17:44:00",32921
"2018-05-26 18:44:01",32921
"2018-05-26 19:44:04",32921
