Date,Amazon_holding
12/24/2019 11:50,116995
12/24/2019 12:50,116995
12/24/2019 13:50,116995
12/24/2019 14:52,116990
12/24/2019 15:51,116962
12/24/2019 16:50,116962
12/24/2019 17:51,116942
12/24/2019 18:50,116956
12/24/2019 20:50,116973
12/24/2019 21:50,116973
12/24/2019 22:51,116973
12/24/2019 23:50,116973
12/25/2019 0:51,116973
12/25/2019 1:50,116973
12/25/2019 2:50,116973
12/25/2019 3:51,116973
12/25/2019 4:51,116973
12/25/2019 5:51,116962
12/25/2019 6:51,116962
12/25/2019 7:50,116962
12/25/2019 8:51,116962
12/25/2019 9:50,116962
12/25/2019 10:50,116962
12/25/2019 11:50,116962
12/25/2019 12:50,116962
12/25/2019 13:50,116962
12/25/2019 14:50,116962
12/25/2019 15:51,116962
12/25/2019 16:50,116962
12/25/2019 17:51,116962
12/25/2019 18:50,116962
12/25/2019 19:50,116962
12/25/2019 20:50,116962
12/25/2019 21:50,116962
12/25/2019 22:50,116962
12/26/2019 0:50,116962
12/26/2019 1:51,116962
12/26/2019 2:51,116962
12/26/2019 3:51,116962
12/26/2019 4:51,116962
12/26/2019 5:50,116962
12/26/2019 6:51,116962
12/26/2019 7:51,116962
12/26/2019 8:50,116962
12/26/2019 9:50,116962
12/26/2019 10:50,116962
12/26/2019 11:50,116962
12/26/2019 12:50,116962
12/26/2019 13:51,116962
12/26/2019 14:51,116957
12/26/2019 15:51,116887
12/26/2019 16:51,116625
12/26/2019 17:51,116434
12/26/2019 18:51,116230
12/26/2019 19:51,116225
12/26/2019 20:52,116102
12/26/2019 21:51,115990
12/26/2019 23:51,115923
12/27/2019 0:50,115923
12/27/2019 1:51,115923
12/27/2019 2:51,115923
12/27/2019 3:51,115923
12/27/2019 4:51,115912
12/27/2019 5:51,115910
12/27/2019 6:51,115910
12/27/2019 7:50,115910
12/27/2019 8:51,115910
12/27/2019 9:50,115910
12/27/2019 10:50,115910
12/27/2019 11:50,115910
12/27/2019 12:50,115910
12/27/2019 14:11,115901
12/27/2019 14:51,115901
12/27/2019 15:51,115681
12/27/2019 16:51,115643
12/27/2019 17:51,115607
12/27/2019 18:51,115533
12/27/2019 19:52,115355
12/27/2019 20:51,115362
12/27/2019 21:51,115291
12/27/2019 22:51,115282
12/27/2019 23:50,115272
12/28/2019 0:51,115272
12/28/2019 1:51,115272
12/28/2019 2:51,115272
12/28/2019 3:50,115272
12/28/2019 4:51,115272
12/28/2019 5:51,115264
12/28/2019 6:51,115264
12/28/2019 7:51,115264
12/28/2019 8:51,115264
12/28/2019 9:50,115264
12/28/2019 10:50,115264
12/28/2019 11:50,115264
12/28/2019 12:50,115264
12/28/2019 13:50,115264
12/28/2019 14:51,115264
12/28/2019 15:51,115264
12/28/2019 16:51,115264
12/28/2019 17:51,115264
12/28/2019 18:50,115264
12/28/2019 19:50,115264
12/28/2019 20:51,115264
12/28/2019 21:50,115264
12/28/2019 22:50,115264
12/28/2019 23:51,115264
12/29/2019 0:51,115264
12/29/2019 1:51,115264
12/29/2019 2:51,115264
12/29/2019 3:51,115264
12/29/2019 5:51,115264
12/29/2019 6:51,115264
12/29/2019 7:50,115264
12/29/2019 8:51,115264
12/29/2019 9:50,115264
12/29/2019 10:50,115264
12/29/2019 11:50,115264
12/29/2019 12:50,115264
12/29/2019 13:50,115264
12/29/2019 14:51,115264
12/29/2019 15:51,115264
12/29/2019 16:51,115264
12/29/2019 17:50,115264
12/29/2019 18:51,115264
12/29/2019 19:51,115264
12/29/2019 20:50,115264
12/29/2019 21:52,115264
12/29/2019 22:50,115264
12/29/2019 23:50,115264
12/30/2019 0:50,115264
12/30/2019 1:51,115264
12/30/2019 2:52,115264
12/30/2019 3:50,115264
12/30/2019 4:51,115264
12/30/2019 5:51,115264
12/30/2019 6:50,115261
12/30/2019 7:50,115261
12/30/2019 8:50,115261
12/30/2019 9:50,115261
12/30/2019 10:50,115261
12/30/2019 11:50,115261
12/30/2019 12:50,115261
12/30/2019 14:11,115254
12/30/2019 14:52,115254
12/30/2019 15:51,115254
12/30/2019 16:51,114944
12/30/2019 17:51,114872
12/30/2019 18:51,114920
12/30/2019 19:51,114922
12/30/2019 20:51,114919
12/30/2019 21:50,114927
12/30/2019 23:51,114933
12/31/2019 0:50,114933
12/31/2019 1:51,114933
12/31/2019 2:51,114933
12/31/2019 3:51,114933
12/31/2019 4:50,114933
12/31/2019 5:50,114933
12/31/2019 6:50,114933
12/31/2019 7:50,114919
12/31/2019 8:51,114919
12/31/2019 9:51,114919
12/31/2019 10:51,114919
12/31/2019 11:51,114919
12/31/2019 12:50,114919
12/31/2019 14:12,114920
12/31/2019 14:52,114920
12/31/2019 15:51,114858
12/31/2019 16:51,114850
12/31/2019 17:51,114835
12/31/2019 18:51,114860
12/31/2019 19:51,114852
12/31/2019 20:51,114874
12/31/2019 21:50,114892
12/31/2019 22:50,114892
12/31/2019 23:50,114894
1/1/2020 0:50,114894
1/1/2020 1:50,114894
1/1/2020 2:50,114894
1/1/2020 3:51,114894
1/1/2020 4:50,114894
1/1/2020 5:51,114894
1/1/2020 6:51,114894
1/1/2020 7:50,114894
1/1/2020 8:50,114894
1/1/2020 9:50,114894
1/1/2020 10:50,114882
1/1/2020 11:50,114882
1/1/2020 12:50,114882
1/1/2020 13:50,114882
1/1/2020 14:50,114882
1/1/2020 15:50,114882
1/1/2020 16:50,114882
1/1/2020 17:50,114882
1/1/2020 18:50,114882
1/1/2020 19:50,114882
1/1/2020 20:51,114882
1/1/2020 21:51,114882
1/1/2020 22:51,114882
1/1/2020 23:51,114882
1/2/2020 0:51,114882
1/2/2020 1:51,114882
1/2/2020 2:52,114882
1/2/2020 3:51,114882
1/2/2020 4:51,114882
1/2/2020 5:50,114882
1/2/2020 6:50,114882
1/2/2020 7:50,114882
1/2/2020 8:50,114882
1/2/2020 9:50,114882
1/2/2020 10:50,114882
1/2/2020 11:50,114882
1/2/2020 12:50,114882
1/2/2020 14:13,114869
1/2/2020 14:53,114869
1/2/2020 15:51,114889
1/2/2020 16:51,114847
1/2/2020 17:51,114855
1/2/2020 18:51,114798
1/2/2020 19:51,114702
1/2/2020 20:51,114702
1/2/2020 21:51,114348
1/2/2020 22:52,114203
1/2/2020 23:50,114192
1/3/2020 0:51,114192
1/3/2020 1:51,114192
1/3/2020 2:51,114192
1/3/2020 3:51,114192
1/3/2020 4:51,114192
1/3/2020 5:51,114192
1/3/2020 6:51,114192
1/3/2020 7:51,114183
1/3/2020 8:51,114183
1/3/2020 9:50,114183
1/3/2020 10:50,114183
1/3/2020 11:50,114183
1/3/2020 12:50,114183
1/3/2020 14:13,114188
1/3/2020 14:56,114188
1/3/2020 15:51,114129
1/3/2020 16:51,114172
1/3/2020 17:52,114189
1/3/2020 18:51,114189
1/3/2020 19:51,114212
1/3/2020 20:51,114212
1/3/2020 21:50,114189
1/3/2020 22:51,114187
1/3/2020 23:51,114186
1/4/2020 0:51,114186
1/4/2020 1:51,114186
1/4/2020 2:51,114186
1/4/2020 3:51,114186
1/4/2020 4:51,114186
1/4/2020 5:51,114186
1/4/2020 6:51,114186
1/4/2020 7:50,114186
1/4/2020 8:50,114178
1/4/2020 9:50,114178
1/4/2020 10:50,114178
1/4/2020 11:50,114178
1/4/2020 12:50,114178
1/4/2020 13:50,114178
1/4/2020 14:50,114178
1/4/2020 15:51,114178
1/4/2020 16:51,114178
1/4/2020 17:51,114178
1/4/2020 19:51,114178
1/4/2020 20:51,114178
1/4/2020 21:51,114178
1/4/2020 22:51,114178
1/4/2020 23:51,114178
1/5/2020 0:50,114178
1/5/2020 1:52,114178
1/5/2020 2:51,114178
1/5/2020 3:51,114178
1/5/2020 4:50,114178
1/5/2020 5:51,114178
1/5/2020 6:50,114178
1/5/2020 7:50,114178
1/5/2020 8:50,114178
1/5/2020 9:50,114178
1/5/2020 10:50,114178
1/5/2020 11:50,114178
1/5/2020 12:50,114178
1/5/2020 13:50,114178
1/5/2020 14:50,114178
1/5/2020 15:50,114178
1/5/2020 16:51,114178
1/5/2020 17:52,114178
1/5/2020 18:51,114178
1/5/2020 20:51,114178
1/5/2020 21:51,114178
1/5/2020 22:50,114178
1/5/2020 23:51,114178
1/6/2020 0:51,114178
1/6/2020 1:51,114178
1/6/2020 2:51,114178
1/6/2020 3:51,114178
1/6/2020 4:51,114178
1/6/2020 5:51,114178
1/6/2020 6:51,114178
1/6/2020 7:50,114178
1/6/2020 8:50,114178
1/16/2020 6:50,113620
1/16/2020 7:50,113620
1/16/2020 8:50,113620
1/16/2020 9:50,113620
1/16/2020 10:50,113620
1/16/2020 11:50,113620
1/16/2020 12:50,113620
1/16/2020 14:13,113615
1/16/2020 15:50,113537
1/16/2020 16:50,113554
1/16/2020 17:50,113581
1/16/2020 18:50,113636
1/16/2020 19:50,113647
1/16/2020 20:50,113651
1/16/2020 21:50,113636
1/16/2020 22:50,113637
1/16/2020 23:50,113643
1/17/2020 0:51,113643
1/17/2020 1:51,113643
1/17/2020 2:50,113643
1/17/2020 3:50,113643
1/17/2020 4:50,113643
1/17/2020 5:50,113643
1/17/2020 6:50,113642
1/17/2020 7:49,113642
1/17/2020 8:49,113642
1/17/2020 9:51,113642
1/17/2020 10:49,113642
1/17/2020 11:49,113630
1/17/2020 12:50,113630
1/17/2020 14:11,113624
1/17/2020 14:50,113624
1/17/2020 15:50,113667
1/17/2020 16:50,113702
1/17/2020 17:50,113775
1/17/2020 18:50,113836
1/17/2020 19:50,113901
1/17/2020 20:50,113970
1/17/2020 21:50,114018
1/17/2020 22:50,114043
1/17/2020 23:50,114044
1/18/2020 0:51,114044
1/18/2020 1:50,114044
1/18/2020 2:50,114044
1/18/2020 3:50,114044
1/18/2020 4:50,114044
1/18/2020 5:50,114044
1/18/2020 6:49,114044
1/18/2020 7:50,114044
1/18/2020 8:50,114044
1/18/2020 9:49,114044
1/18/2020 10:49,114032
1/18/2020 11:49,114032
1/18/2020 12:50,114032
1/18/2020 13:50,114032
1/18/2020 14:50,114032
1/18/2020 15:50,114032
1/18/2020 16:49,114032
1/18/2020 17:50,114032
1/18/2020 18:50,114032
1/18/2020 19:50,114032
1/18/2020 20:50,114032
1/18/2020 21:50,114032
1/18/2020 23:50,114032
1/19/2020 0:49,114032
1/19/2020 1:50,114032
1/19/2020 2:50,114032
1/19/2020 3:50,114032
1/19/2020 4:50,114032
1/19/2020 5:50,114032
1/19/2020 6:50,114032
1/19/2020 7:49,114032
1/19/2020 8:50,114032
1/19/2020 9:49,114032
1/19/2020 10:49,114032
1/19/2020 11:49,114032
1/19/2020 12:49,114032
1/19/2020 13:50,114032
1/19/2020 14:50,114032
1/19/2020 15:50,114032
1/19/2020 16:49,114032
1/19/2020 17:50,114032
1/19/2020 18:50,114032
1/19/2020 19:51,114032
1/19/2020 20:50,114032
1/19/2020 21:50,114032
1/19/2020 23:51,114032
1/20/2020 0:51,114032
1/20/2020 1:50,114032
1/20/2020 2:50,114032
1/20/2020 3:51,114032
1/20/2020 4:51,114032
1/20/2020 5:50,114032
1/20/2020 6:51,114032
1/20/2020 7:49,114032
1/20/2020 8:51,114032
1/20/2020 9:56,114032
1/20/2020 10:50,114032
1/20/2020 11:49,114032
1/20/2020 12:50,114032
1/20/2020 13:51,114032
1/20/2020 14:50,114032
1/20/2020 15:51,114032
1/20/2020 16:50,114032
1/20/2020 17:50,114032
1/20/2020 18:49,114032
1/20/2020 19:50,114032
1/20/2020 21:51,114032
1/20/2020 22:51,114032
1/20/2020 23:51,114032
1/21/2020 0:51,114032
1/21/2020 1:50,114032
1/21/2020 2:51,114032
1/21/2020 3:50,114032
1/21/2020 4:50,114032
1/21/2020 5:49,114032
1/21/2020 6:49,114032
1/21/2020 7:49,114032
1/21/2020 8:50,114032
1/21/2020 10:04,114032
1/21/2020 10:51,114032
1/21/2020 11:50,114032
1/21/2020 12:50,114032
1/21/2020 13:50,114032
1/21/2020 15:51,114074
1/21/2020 16:50,113991
1/21/2020 17:51,113945
1/21/2020 18:50,113919
1/21/2020 19:51,113919
1/21/2020 20:50,113934
1/21/2020 21:51,113741
1/21/2020 22:51,113662
1/21/2020 23:50,113618
1/22/2020 0:50,113618
1/22/2020 1:50,113618
1/22/2020 2:51,113618
1/22/2020 3:50,113618
1/22/2020 4:50,113618
1/22/2020 5:50,113618
1/22/2020 6:49,113618
1/22/2020 7:50,113618
1/22/2020 8:50,113618
1/22/2020 10:00,113618
